fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
11.6;0.58;0.66;2.2;0.074;10;47;1.0008;3.25;0.57;9;3
10.4;0.61;0.49;2.1;0.2;5;16;0.9994;3.16;0.63;8.4;3
7.4;1.185;0;4.25;0.097;5;14;0.9966;3.63;0.54;10.7;3
10.4;0.44;0.42;1.5;0.145;34;48;0.99832;3.38;0.86;9.9;3
8.3;1.02;0.02;3.4;0.084;6;11;0.99892;3.48;0.49;11;3
7.6;1.58;0;2.1;0.137;5;9;0.99476;3.5;0.4;10.9;3
6.8;0.815;0;1.2;0.267;16;29;0.99471;3.32;0.51;9.8;3
7.3;0.98;0.05;2.1;0.061;20;49;0.99705;3.31;0.55;9.7;3
7.1;0.875;0.05;5.7;0.082;3;14;0.99808;3.4;0.52;10.2;3
6.7;0.76;0.02;1.8;0.078;6;12;0.996;3.55;0.63;9.95;3
7.4;0.59;0.08;4.4;0.086;6;29;0.9974;3.38;0.5;9;4
5.7;1.13;0.09;1.5;0.172;7;19;0.994;3.5;0.48;9.8;4
8.8;0.61;0.3;2.8;0.088;17;46;0.9976;3.26;0.51;9.3;4
4.6;0.52;0.15;2.1;0.054;8;65;0.9934;3.9;0.56;13.1;4
8.3;0.675;0.26;2.1;0.084;11;43;0.9976;3.31;0.53;9.2;4
8.3;0.625;0.2;1.5;0.08;27;119;0.9972;3.16;1.12;9.1;4
5;1.02;0.04;1.4;0.045;41;85;0.9938;3.75;0.48;10.5;4
9.2;0.52;1;3.4;0.61;32;69;0.9996;2.74;2.0;9.4;4
7.6;0.68;0.02;1.3;0.072;9;20;0.9965;3.17;1.08;9.2;4
7.3;0.55;0.03;1.6;0.072;17;42;0.9956;3.37;0.48;9;4
7.9;0.885;0.03;1.8;0.058;4;8;0.9972;3.36;0.33;9.1;4
6.9;1.09;0.06;2.1;0.061;12;31;0.9948;3.51;0.43;11.4;4
8.4;0.635;0.36;2;0.089;15;55;0.99745;3.31;0.57;10.4;4
7;0.975;0.04;2;0.087;12;67;0.99565;3.35;0.6;9.4;4
8.1;0.87;0;3.3;0.096;26;61;100025;3.6;0.72;9.8;4
12.5;0.46;0.49;4.5;0.07;26;49;0.9981;3.05;0.57;9.6;4
10.5;0.59;0.49;2.1;0.07;14;47;0.9991;3.3;0.56;9.6;4
9.9;0.5;0.24;2.3;0.103;6;14;0.9978;3.34;0.52;10;4
8.2;0.915;0.27;2.1;0.088;7;23;0.9962;3.26;0.47;10;4
10.1;0.935;0.22;3.4;0.105;11;86;1.001;3.43;0.64;11.3;4
8.3;0.845;0.01;2.2;0.07;5;14;0.9967;3.32;0.58;11;4
7.1;0.84;0.02;4.4;0.096;5;13;0.997;3.41;0.57;11;4
7.5;0.38;0.48;2.6;0.073;22;84;0.9972;3.32;0.7;9.6;4
9.1;0.765;0.04;1.6;0.078;4;14;0.998;3.29;0.54;9.7;4
7.5;1.115;0.1;3.1;0.086;5;12;0.9958;3.54;0.6;11.2;4
6.9;0.39;0.24;2.1;0.102;4;7;0.99462;3.44;0.58;11.4;4
7.5;0.685;0.07;2.5;0.058;5;9;0.99632;3.38;0.55;10.9;4
11.6;0.47;0.44;1.6;0.147;36;51;0.99836;3.38;0.86;9.9;4
7.3;0.35;0.24;2;0.067;28;48;0.99576;3.43;0.54;10;4
7.1;0.47;0;2.2;0.067;7;14;0.99517;3.4;0.58;10.9;4
8.4;0.67;0.19;2.2;0.093;11;75;0.99736;3.2;0.59;9.2;4
12;0.63;0.5;1.4;0.071;6;26;0.99791;3.07;0.6;10.4;4
6.5;0.58;0;2.2;0.096;3;13;0.99557;3.62;0.62;11.5;4
6.5;0.88;0.03;5.6;0.079;23;47;0.99572;3.58;0.5;11.2;4
8.8;0.955;0.05;1.8;0.075;5;19;0.99616;3.3;0.44;9.6;4
10.2;0.23;0.37;2.2;0.057;14;36;0.99614;3.23;0.49;9.3;4
6;0.33;0.32;12.9;0.054;6;113;0.99572;3.3;0.56;11.5;4
8.1;0.73;0;2.5;0.081;12;24;0.99798;3.38;0.46;9.6;4
6.5;0.67;0;4.3;0.057;11;20;0.99488;3.45;0.56;11.8;4
6.3;1.02;0;2;0.083;17;24;0.99437;3.59;0.55;11.2;4
8.2;0.78;0;2.2;0.089;13;26;0.9978;3.37;0.46;9.6;4
8.5;0.4;0.4;6.3;0.05;3;10;0.99566;3.28;0.56;12;4
7.5;0.755;0;1.9;0.084;6;12;0.99672;3.34;0.49;9.7;4
6.8;0.68;0.09;3.9;0.068;15;29;0.99524;3.41;0.52;11.1;4
8;0.83;0.27;2;0.08;11;63;0.99652;3.29;0.48;9.8;4
6.6;0.61;0;1.6;0.069;4;8;0.99396;3.33;0.37;10.4;4
6.4;0.53;0.09;3.9;0.123;14;31;0.9968;3.5;0.67;11;4
6.2;0.785;0;2.1;0.06;6;13;0.99664;3.59;0.61;10;4
6.7;1.04;0.08;2.3;0.067;19;32;0.99648;3.52;0.57;11;4
5.6;0.62;0.03;1.5;0.08;6;13;0.99498;3.66;0.62;10.1;4
7.2;0.58;0.54;2.1;0.114;3;9;0.99719;3.33;0.57;10.3;4
6.8;0.91;0.06;2;0.06;4;11;0.99592;3.53;0.64;10.9;4
6.9;0.48;0.2;1.9;0.082;9;23;0.99585;3.39;0.43;9.05;4
7.4;0.7;0;1.9;0.076;11;34;0.9978;3.51;0.56;9.4;5
7.8;0.88;0;2.6;0.098;25;67;0.9968;3.2;0.68;9.8;5
7.8;0.76;0.04;2.3;0.092;15;54;0.997;3.26;0.65;9.8;5
7.4;0.7;0;1.9;0.076;11;34;0.9978;3.51;0.56;9.4;5
7.4;0.66;0;1.8;0.075;13;40;0.9978;3.51;0.56;9.4;5
7.9;0.6;0.06;1.6;0.069;15;59;0.9964;3.3;0.46;9.4;5
7.5;0.5;0.36;6.1;0.071;17;102;0.9978;3.35;0.8;10.5;5
6.7;0.58;0.08;1.8;0.097;15;65;0.9959;3.28;0.54;9.2;5
7.5;0.5;0.36;6.1;0.071;17;102;0.9978;3.35;0.8;10.5;5
5.6;0.615;0;1.6;0.089;16;59;0.9943;3.58;0.52;9.9;5
7.8;0.61;0.29;1.6;0.114;9;29;0.9974;3.26;1.56;9.1;5
8.9;0.62;0.18;3.8;0.176;52;145;0.9986;3.16;0.88;9.2;5
8.9;0.62;0.19;3.9;0.17;51;148;0.9986;3.17;0.93;9.2;5
8.1;0.56;0.28;1.7;0.368;16;56;0.9968;3.11;1.28;9.3;5
7.6;0.39;0.31;2.3;0.082;23;71;0.9982;3.52;0.65;9.7;5
7.9;0.43;0.21;1.6;0.106;10;37;0.9966;3.17;0.91;9.5;5
8.5;0.49;0.11;2.3;0.084;9;67;0.9968;3.17;0.53;9.4;5
6.3;0.39;0.16;1.4;0.08;11;23;0.9955;3.34;0.56;9.3;5
7.6;0.41;0.24;1.8;0.08;4;11;0.9962;3.28;0.59;9.5;5
7.9;0.43;0.21;1.6;0.106;10;37;0.9966;3.17;0.91;9.5;5
7.1;0.71;0;1.9;0.08;14;35;0.9972;3.47;0.55;9.4;5
6.7;0.675;0.07;2.4;0.089;17;82;0.9958;3.35;0.54;10.1;5
8.3;0.655;0.12;2.3;0.083;15;113;0.9966;3.17;0.66;9.8;5
5.2;0.32;0.25;1.8;0.103;13;50;0.9957;3.38;0.55;9.2;5
7.3;0.45;0.36;5.9;0.074;12;87;0.9978;3.33;0.83;10.5;5
7.3;0.45;0.36;5.9;0.074;12;87;0.9978;3.33;0.83;10.5;5
8.1;0.66;0.22;2.2;0.069;9;23;0.9968;3.3;1.2;10.3;5
6.8;0.67;0.02;1.8;0.05;5;11;0.9962;3.48;0.52;9.5;5
7.7;0.935;0.43;2.2;0.114;22;114;0.997;3.25;0.73;9.2;5
8.7;0.29;0.52;1.6;0.113;12;37;0.9969;3.25;0.58;9.5;5
6.4;0.4;0.23;1.6;0.066;5;12;0.9958;3.34;0.56;9.2;5
5.6;0.31;0.37;1.4;0.074;12;96;0.9954;3.32;0.58;9.2;5
8.8;0.66;0.26;1.7;0.074;4;23;0.9971;3.15;0.74;9.2;5
8.6;0.38;0.36;3;0.081;30;119;0.997;3.2;0.56;9.4;5
7.7;0.62;0.04;3.8;0.084;25;45;0.9978;3.34;0.53;9.5;5
10.2;0.42;0.57;3.4;0.07;4;10;0.9971;3.04;0.63;9.6;5
7.5;0.63;0.12;5.1;0.111;50;110;0.9983;3.26;0.77;9.4;5
7.8;0.59;0.18;2.3;0.076;17;54;0.9975;3.43;0.59;10;5
8.8;0.4;0.4;2.2;0.079;19;52;0.998;3.44;0.64;9.2;5
7.7;0.69;0.49;1.8;0.115;20;112;0.9968;3.21;0.71;9.3;5
7;0.735;0.05;2;0.081;13;54;0.9966;3.39;0.57;9.8;5
7.2;0.725;0.05;4.65;0.086;4;11;0.9962;3.41;0.39;10.9;5
7.2;0.725;0.05;4.65;0.086;4;11;0.9962;3.41;0.39;10.9;5
7.5;0.52;0.11;1.5;0.079;11;39;0.9968;3.42;0.58;9.6;5
6.6;0.705;0.07;1.6;0.076;6;15;0.9962;3.44;0.58;10.7;5
9.3;0.32;0.57;2;0.074;27;65;0.9969;3.28;0.79;10.7;5
7.7;0.67;0.23;2.1;0.088;17;96;0.9962;3.32;0.48;9.5;5
7.7;0.69;0.22;1.9;0.084;18;94;0.9961;3.31;0.48;9.5;5
9.7;0.32;0.54;2.5;0.094;28;83;0.9984;3.28;0.82;9.6;5
8.8;0.41;0.64;2.2;0.093;9;42;0.9986;3.54;0.66;10.5;5
11.2;0.28;0.56;1.9;0.075;17;60;0.998;3.16;0.58;9.8;6
7.9;0.32;0.51;1.8;0.341;17;56;0.9969;3.04;1.08;9.2;6
8.9;0.22;0.48;1.8;0.077;29;60;0.9968;3.39;0.53;9.4;6
6.9;0.4;0.14;2.4;0.085;21;40;0.9968;3.43;0.63;9.7;6
7.8;0.645;0;2;0.082;8;16;0.9964;3.38;0.59;9.8;6
6.9;0.685;0;2.5;0.105;22;37;0.9966;3.46;0.57;10.6;6
6.9;0.605;0.12;10.7;0.073;40;83;0.9993;3.45;0.52;9.4;6
7.8;0.645;0;5.5;0.086;5;18;0.9986;3.4;0.55;9.6;6
7.8;0.6;0.14;2.4;0.086;3;15;0.9975;3.42;0.6;10.8;6
7.5;0.49;0.2;2.6;0.332;8;14;0.9968;3.21;0.9;10.5;6
6.6;0.52;0.04;2.2;0.069;8;15;0.9956;3.4;0.63;9.4;6
6.6;0.5;0.04;2.1;0.068;6;14;0.9955;3.39;0.64;9.4;6
7.6;0.51;0.15;2.8;0.11;33;73;0.9955;3.17;0.63;10.2;6
7.3;0.39;0.31;2.4;0.074;9;46;0.9962;3.41;0.54;9.4;6
8;0.705;0.05;1.9;0.074;8;19;0.9962;3.34;0.95;10.5;6
7.7;0.63;0.08;1.9;0.076;15;27;0.9967;3.32;0.54;9.5;6
6.8;0.785;0;2.4;0.104;14;30;0.9966;3.52;0.55;10.7;6
6.3;0.3;0.48;1.8;0.069;18;61;0.9959;3.44;0.78;10.3;6
8.6;0.49;0.28;1.9;0.11;20;136;0.9972;2.93;1.95;9.9;6
8.6;0.49;0.28;1.9;0.11;20;136;0.9972;2.93;1.95;9.9;6
4.7;0.6;0.17;2.3;0.058;17;106;0.9932;3.85;0.6;12.9;6
8.1;0.545;0.18;1.9;0.08;13;35;0.9972;3.3;0.59;9;6
8.3;0.61;0.3;2.1;0.084;11;50;0.9972;3.4;0.61;10.2;6
7.8;0.5;0.3;1.9;0.075;8;22;0.9959;3.31;0.56;10.4;6
8.1;0.545;0.18;1.9;0.08;13;35;0.9972;3.3;0.59;9;6
8;0.33;0.53;2.5;0.091;18;80;0.9976;3.37;0.8;9.6;6
10.1;0.31;0.44;2.3;0.08;22;46;0.9988;3.32;0.67;9.7;6
9.4;0.4;0.31;2.2;0.09;13;62;0.9966;3.07;0.63;10.5;6
8.3;0.54;0.28;1.9;0.077;11;40;0.9978;3.39;0.61;10;6
7.8;0.56;0.12;2;0.082;7;28;0.997;3.37;0.5;9.4;6
8.8;0.55;0.04;2.2;0.119;14;56;0.9962;3.21;0.6;10.9;6
7;0.69;0.08;1.8;0.097;22;89;0.9959;3.34;0.54;9.2;6
8.8;0.55;0.04;2.2;0.119;14;56;0.9962;3.21;0.6;10.9;6
6.6;0.5;0.01;1.5;0.06;17;26;0.9952;3.4;0.58;9.8;6
7.9;1.04;0.05;2.2;0.084;13;29;0.9959;3.22;0.55;9.9;6
5.2;0.34;0;1.8;0.05;27;63;0.9916;3.68;0.79;14;6
5.2;0.34;0;1.8;0.05;27;63;0.9916;3.68;0.79;14;6
6.9;0.49;0.1;2.3;0.074;12;30;0.9959;3.42;0.58;10.2;6
8.2;0.4;0.44;2.8;0.089;11;43;0.9975;3.53;0.61;10.5;6
7.3;0.33;0.47;2.1;0.077;5;11;0.9958;3.33;0.53;10.3;6
6.8;0.6;0.18;1.9;0.079;18;86;0.9968;3.59;0.57;9.3;6
7.8;0.53;0.04;1.7;0.076;17;31;0.9964;3.33;0.56;10;6
6.8;0.63;0.07;2.1;0.089;11;44;0.9953;3.47;0.55;10.4;6
8;0.42;0.17;2;0.073;6;18;0.9972;3.29;0.61;9.2;6
8;0.42;0.17;2;0.073;6;18;0.9972;3.29;0.61;9.2;6
7.4;0.62;0.05;1.9;0.068;24;42;0.9961;3.42;0.57;11.5;6
7.5;0.52;0.42;2.3;0.087;8;38;0.9972;3.58;0.61;10.5;6
6.7;0.62;0.21;1.9;0.079;8;62;0.997;3.52;0.58;9.3;6
6.4;0.37;0.25;1.9;0.074;21;49;0.9974;3.57;0.62;9.8;6
11.5;0.3;0.6;2;0.067;12;27;0.9981;3.11;0.97;10.1;6
7;0.43;0.36;1.6;0.089;14;37;0.99615;3.34;0.56;9.2;6
9.7;0.53;0.6;2;0.039;5;19;0.99585;3.3;0.86;12.4;6
8;0.725;0.24;2.8;0.083;10;62;0.99685;3.35;0.56;10;6
7.3;0.65;0;1.2;0.065;15;21;0.9946;3.39;0.47;10;7
7.8;0.58;0.02;2;0.073;9;18;0.9968;3.36;0.57;9.5;7
8.5;0.28;0.56;1.8;0.092;35;103;0.9969;3.3;0.75;10.5;7
8.1;0.38;0.28;2.1;0.066;13;30;0.9968;3.23;0.73;9.7;7
7.5;0.52;0.16;1.9;0.085;12;35;0.9968;3.38;0.62;9.5;7
8;0.59;0.16;1.8;0.065;3;16;0.9962;3.42;0.92;10.5;7
5.4;0.835;0.08;1.2;0.046;13;93;0.9924;3.57;0.85;13;7
9.6;0.32;0.47;1.4;0.056;9;24;0.99695;3.22;0.82;10.3;7
12.8;0.3;0.74;2.6;0.095;9;28;0.9994;3.2;0.77;10.8;7
12.8;0.3;0.74;2.6;0.095;9;28;0.9994;3.2;0.77;10.8;7
11;0.3;0.58;2.1;0.054;7;19;0.998;3.31;0.88;10.5;7
5.2;0.48;0.04;1.6;0.054;19;106;0.9927;3.54;0.62;12.2;7
15;0.21;0.44;2.2;0.075;10;24;1.00005;3.07;0.84;9.2;7
15;0.21;0.44;2.2;0.075;10;24;1.00005;3.07;0.84;9.2;7
10;0.31;0.47;2.6;0.085;14;33;0.99965;3.36;0.8;10.5;7
11.8;0.26;0.52;1.8;0.071;6;10;0.9968;3.2;0.72;10.2;7
8.9;0.4;0.32;5.6;0.087;10;47;0.9991;3.38;0.77;10.5;7
7.7;0.27;0.68;3.5;0.358;5;10;0.9972;3.25;1.08;9.9;7
8.9;0.4;0.32;5.6;0.087;10;47;0.9991;3.38;0.77;10.5;7
8.7;0.52;0.09;2.5;0.091;20;49;0.9976;3.34;0.86;10.6;7
8.7;0.52;0.09;2.5;0.091;20;49;0.9976;3.34;0.86;10.6;7
9.8;0.66;0.39;3.2;0.083;21;59;0.9989;3.37;0.71;11.5;7
9.8;0.66;0.39;3.2;0.083;21;59;0.9989;3.37;0.71;11.5;7
11.6;0.53;0.66;3.65;0.121;6;14;0.9978;3.05;0.74;11.5;7
7.9;0.65;0.01;2.5;0.078;17;38;0.9963;3.34;0.74;11.7;7
11.9;0.695;0.53;3.4;0.128;7;21;0.9992;3.17;0.84;12.2;7
12.5;0.28;0.54;2.3;0.082;12;29;0.9997;3.11;1.36;9.8;7
6.6;0.815;0.02;2.7;0.072;17;34;0.9955;3.58;0.89;12.3;7
10.5;0.42;0.66;2.95;0.116;12;29;0.997;3.24;0.75;11.7;7
11.9;0.43;0.66;3.1;0.109;10;23;1;3.15;0.85;10.4;7
12.8;0.615;0.66;5.8;0.083;7;42;10022;3.07;0.73;10;7
12.8;0.615;0.66;5.8;0.083;7;42;10022;3.07;0.73;10;7
9.4;0.27;0.53;2.4;0.074;6;18;0.9962;3.2;1.13;12;7
11.5;0.54;0.71;4.4;0.124;6;15;0.9984;3.01;0.83;11.8;7
9.4;0.27;0.53;2.4;0.074;6;18;0.9962;3.2;1.13;12;7
9.6;0.38;0.31;2.5;0.096;16;49;0.9982;3.19;0.7;10;7
12;0.37;0.76;4.2;0.066;7;38;1.0004;3.22;0.6;13;7
12;0.39;0.66;3;0.093;12;30;0.9996;3.18;0.63;10.8;7
9.9;0.4;0.53;6.7;0.097;6;19;0.9986;3.27;0.82;11.7;7
9.5;0.56;0.33;2.4;0.089;35;67;0.9972;3.28;0.73;11.8;7
6.6;0.84;0.03;2.3;0.059;32;48;0.9952;3.52;0.56;12.3;7
10.5;0.24;0.47;2.1;0.066;6;24;0.9978;3.15;0.9;11;7
6.6;0.84;0.03;2.3;0.059;32;48;0.9952;3.52;0.56;12.3;7
10.5;0.24;0.47;2.1;0.066;6;24;0.9978;3.15;0.9;11;7
10;0.44;0.49;2.7;0.077;11;19;0.9963;3.23;0.63;11.6;7
5.3;0.57;0.01;1.7;0.054;5;27;0.9934;3.57;0.84;12.5;7
10.4;0.33;0.63;2.8;0.084;5;22;0.9998;3.26;0.74;11.2;7
10.4;0.33;0.63;2.8;0.084;5;22;0.9998;3.26;0.74;11.2;7
9.2;0.41;0.5;2.5;0.055;12;25;0.9952;3.34;0.79;13.3;7
8.9;0.4;0.51;2.6;0.052;13;27;0.995;3.32;0.9;13.4;7
10.4;0.44;0.73;6.55;0.074;38;76;0.999;3.17;0.85;12;7
10.4;0.44;0.73;6.55;0.074;38;76;0.999;3.17;0.85;12;7
8.4;0.37;0.43;2.3;0.063;12;19;0.9955;3.17;0.81;11.2;7
7;0.56;0.17;1.7;0.065;15;24;0.99514;3.44;0.68;10.55;7
6.7;0.32;0.44;2.4;0.061;24;34;0.99484;3.29;0.8;11.6;7
7.9;0.35;0.46;3.6;0.078;15;37;0.9973;3.35;0.86;12.8;8
10.3;0.32;0.45;6.4;0.073;5;13;0.9976;3.23;0.82;12.6;8
5.6;0.85;0.05;1.4;0.045;12;88;0.9924;3.56;0.82;12.9;8
12.6;0.31;0.72;2.2;0.072;6;29;0.9987;2.88;0.82;9.8;8
11.3;0.62;0.67;5.2;0.086;6;19;0.9988;3.22;0.69;13.4;8
9.4;0.3;0.56;2.8;0.08;6;17;0.9964;3.15;0.92;11.7;8
10.7;0.35;0.53;2.6;0.07;5;16;0.9972;3.15;0.65;11;8
10.7;0.35;0.53;2.6;0.07;5;16;0.9972;3.15;0.65;11;8
5;0.42;0.24;2;0.06;19;50;0.9917;3.72;0.74;14;8
7.8;0.57;0.09;2.3;0.065;34;45;0.99417;3.46;0.74;12.7;8
9.1;0.4;0.5;1.8;0.071;7;16;0.99462;3.21;0.69;12.5;8
10;0.26;0.54;1.9;0.083;42;74;0.99451;2.98;0.63;11.8;8
7.9;0.54;0.34;2.5;0.076;8;17;0.99235;3.2;0.72;13.1;8
8.6;0.42;0.39;1.8;0.068;6;12;0.99516;3.35;0.69;11.7;8
5.5;0.49;0.03;1.8;0.044;28;87;0.9908;3.5;0.82;14;8
7.2;0.33;0.33;1.7;0.061;3;13;0.996;3.23;1.1;10;8
7.2;0.38;0.31;2;0.056;15;29;0.99472;3.23;0.76;11.3;8
7.4;0.36;0.3;1.8;0.074;17;24;0.99419;3.24;0.7;11.4;8
